table;question;ex_correct;correct_index;correct_any;agg_wrong;sel_wrong;conds_wrong
1-10182508-5;How many combined days did Go Shiozaki have?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10182508-5;What was Go Shiozaki's rank?;0.0;-1.0;0.0;1.0;1.0;1.0
1-1024710-2;Which province is grey and bell electorate in;0.0;-1.0;0.0;0.0;1.0;1.0
1-1024710-2;Which province is bay of islands in;0.0;-1.0;0.0;0.0;1.0;1.0
1-10294071-1;what is the total number of total w–l where doubles w–l is 11–11;0.0;7.0;1.0;0.0;0.0;0.0
1-10294071-1;what is the total number of singles w–l where doubles w–l is 11–14;0.0;7.0;1.0;0.0;0.0;0.0
1-10294071-1; what's the total w–l where player is boro jovanović category:articles with hcards;0.0;-1.0;0.0;0.0;1.0;1.0
1-10294071-1;what is the maximum ties played where player is josip palada category:articles with hcards;1.0;1.0;1.0;0.0;0.0;0.0
1-10294071-1;what is the total number of ties played where total w–l is 38–24;1.0;1.0;1.0;0.0;0.0;0.0
1-10333757-1;What is the Frequency at the Market/Rank of Burlington - Plattsburgh , Vermont - New York /143?;0.0;-1.0;0.0;1.0;1.0;1.0
1-10333757-1;What is the Branding for Group Owner Qantam of Cape Cod, LLC?;1.0;1.0;1.0;0.0;0.0;0.0
1-10333757-1;What Branding does WRKO calls use?;1.0;1.0;1.0;0.0;0.0;0.0
1-10333757-1;What is the Format for Branding of 1290 wkbk w281au 104.1?;1.0;1.0;1.0;0.0;0.0;0.0
1-10333757-1;Which Market/Rank is associated with WCRN calls?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10333757-1;Which Frequency is used for WEGP calls?;1.0;1.0;1.0;0.0;0.0;0.0
1-10408617-5;What is the regulated retail price for the tariff code ff0 prs?;1.0;1.0;1.0;0.0;0.0;0.0
1-10408617-5;What is the premium associated with tariff code g9?;1.0;1.0;1.0;0.0;0.0;0.0
1-10408617-5;How many tariff codes have a bts retail price of 2p/min or inclusive?;0.0;-1.0;0.0;0.0;1.0;0.0
1-10408617-5;How many tariff codes have a bts retail price of 2.553p/min?;0.0;-1.0;0.0;0.0;1.0;0.0
1-10408617-5;What prefixes are priced at pence per minute, fixed at all times with a premium of 3p/min?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10408617-5;What is the bts retail price (regulated) for tariff code g10?;1.0;1.0;1.0;0.0;0.0;0.0
1-10409754-5;What is the tone for gen.sing. plague?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10432351-1;What is the smallest possible radius?;0.0;-1.0;0.0;1.0;1.0;1.0
1-10432351-1;What are all the spectral types for star mismis24-# is 1sw?;1.0;1.0;1.0;0.0;0.0;0.0
1-10432351-1;If a radius is 10, what  is the lowest possible mass?;0.0;-1.0;0.0;0.0;1.0;1.0
1-105344-2;What percentage of seats were filled in 2006?;1.0;1.0;1.0;0.0;0.0;0.0
1-105344-2;How many hours were flown in each of the years where more than 64379058.0 kilometers were flown?;0.0;-1.0;0.0;0.0;1.0;1.0
1-105344-2;Of the years that had exactly 17096 departures, what is the greatest number of aircraft kilometers flown?;1.0;1.0;1.0;0.0;0.0;0.0
1-10548224-1;Which winning team beat the New York Yankees?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10548224-1;What was the final score for the game that was contested on February 1, 2009?;1.0;1.0;1.0;0.0;0.0;0.0
1-10548224-1;What sport had a final score of 3-2?;1.0;1.0;1.0;0.0;0.0;0.0
1-10548224-1;Who was the winning team of the game that was contested on February 1, 2009?;1.0;1.0;1.0;0.0;0.0;0.0
1-10548224-1;Who was the losing team of the game that was contested on February 1, 2004?;1.0;1.0;1.0;0.0;0.0;0.0
1-1057262-2;what's the minimum total with crop (kilotonnes) being s lupin;1.0;1.0;1.0;0.0;0.0;0.0
1-1057262-2;what's the new south wales with crop (kilotonnes) being canola;1.0;1.0;1.0;0.0;0.0;0.0
1-1057262-2;what's the total number of south australia with victoria value of 2173;0.0;-1.0;0.0;0.0;1.0;1.0
1-1057262-2;what's the minimum tasmania value;0.0;-1.0;0.0;1.0;1.0;1.0
1-1057262-2;what's the total number of tasmania with new south wales crop of 190 kilotonnes;0.0;-1.0;0.0;0.0;1.0;1.0
1-1058787-1;How many significant relationships list Will as a virtue?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1058787-1;"Which examples ask the existential question ""Can I Love?""";0.0;-1.0;0.0;0.0;1.0;1.0
1-1059743-2;How many countries got 796.7 points?;1.0;1.0;1.0;0.0;0.0;0.0
1-1059743-2;In what group stage were 177.2 points awarded?;1.0;1.0;1.0;0.0;0.0;0.0
1-1059743-2;What is the lowest group to earn 886.6 points?;1.0;1.0;1.0;0.0;0.0;0.0
1-1059743-2;How many countries earned 177.2 points?;1.0;1.0;1.0;0.0;0.0;0.0
1-10586064-2;If % lunsford is 51.82% what is the % mcconnell in Letcher?;0.0;-1.0;0.0;0.0;1.0;0.0
1-10586064-2;What country had the total 18,900 (r)?;1.0;1.0;1.0;0.0;0.0;0.0
1-10586064-2;When % mcconnell is 44.54% what are the total number of counties?;1.0;1.0;1.0;0.0;0.0;0.0
1-10586064-2;If % mcconnell is 47.17% what is the total number of mcconnell ?;1.0;1.0;1.0;0.0;0.0;0.0
1-10586064-2;What is the county of precints 515?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10601843-2;Which city has a capacity of 41903?;1.0;1.0;1.0;0.0;0.0;0.0
1-10601843-2;What is the maximum capacity of the Otkrytie Arena stadium?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10601843-2;When did the stadium where Bursaspor is the tenant open?;0.0;-1.0;0.0;1.0;1.0;1.0
1-10601843-2;How many tenants are there in the city of Samsun?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10610087-5;"what's the original air date with title  ""hell""";1.0;1.0;1.0;0.0;0.0;0.0
1-10638523-1;What is the percentage of the Shivalik Zone where the percentage of the Mid-Hill Zone is 10%?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10638523-1;For mid-hill zone  what is the altitude?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10638523-1;What are the climatic conditions for the trance- n himalaya zone?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10638523-1;What is the percentage of the  trance- n himalaya zone that corresponds with the high hill zone is 25%?;1.0;1.0;1.0;0.0;0.0;0.0
1-10644188-3;What is the state of Ted Stevens?;1.0;1.0;1.0;0.0;0.0;0.0
1-10682862-68;What's the standard of the country who won its first title in 1992?;0.0;-1.0;0.0;1.0;1.0;1.0
1-10682862-68;What's the smallest number of players?;1.0;1.0;1.0;0.0;0.0;0.0
1-10682862-68;In what year was the last last title received, by any of the countries?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10710364-1;What religious groups made up 0.72% of the Indian population in 2001?;1.0;1.0;1.0;0.0;0.0;0.0
1-10718868-2;What is the original air date for episode 15 of season 6?;1.0;1.0;1.0;0.0;0.0;0.0
1-10718868-2;"How many episodes in season 6 titles ""Poppin' Tags""?";0.0;-1.0;0.0;0.0;1.0;1.0
1-10753917-1;Which podiums did the Williams team have with a margin of defeat of 2?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10753917-1;How many drivers on the williams team had a margin of defeat of 2?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10753917-1;How many seasons was clay regazzoni the driver?;1.0;1.0;1.0;0.0;0.0;0.0
1-10753917-1;Which margin of defeats had points of 30?;1.0;1.0;1.0;0.0;0.0;0.0
1-10753917-1;Which podiums did the alfa romeo team have?;1.0;1.0;1.0;0.0;0.0;0.0
1-10797636-1;What was the percent of slovenes 1951 for bach?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10812403-4;What college's team is the Saskatchewan Roughriders?;1.0;1.0;1.0;0.0;0.0;0.0
1-10812403-4;What position did Calvin Mccarty play?;1.0;1.0;1.0;0.0;0.0;0.0
1-10812403-4;How many people were pick #30?;1.0;1.0;1.0;0.0;0.0;0.0
1-10812403-4;What college did Calvin McCarty play at?;1.0;1.0;1.0;0.0;0.0;0.0
1-10812403-4;What college had a LB in the draft?;1.0;1.0;1.0;0.0;0.0;0.0
1-10812293-6;Who got high assists for the game played on February 9?;1.0;1.0;1.0;0.0;0.0;0.0
1-1081235-1;Which lava domes erupted or had a growth episode during the Holocene period?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1081235-1;What is the composition at Valles lava dome?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1081235-1;How many countries are the Tata Sabaya Lava domes located in?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1081235-1;What countries have had eruptions of growth episodes in 1986?;0.0;-1.0;0.0;0.0;1.0;0.0
1-10848177-1;Who is the lyricist for the song with a length of 3:05?;1.0;1.0;1.0;0.0;0.0;0.0
1-10848177-1;What song has a length of 3:05?;1.0;1.0;1.0;0.0;0.0;0.0
1-10848177-1;Which lyricist has a song with a length of 6:14?;1.0;1.0;1.0;0.0;0.0;0.0
1-10848177-1;What is the highest track number?;1.0;1.0;1.0;0.0;0.0;0.0
1-10848177-1;Which song has picturization by only vijay?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10848177-1;For which singers was Alangudi Somu the lyricist?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10875694-11;What publishers were involved with product number SCUS-97265?;1.0;1.0;1.0;0.0;0.0;0.0
1-10875694-11;What is the total number of James Bond 007: Everything or Nothing for each system?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10875694-11;"How many products have the title ""Jak 3""?";0.0;-1.0;0.0;0.0;1.0;1.0
1-10875694-11;Which James Bond 007: Agent Under Fire from Electronic Arts is compatible with 60 gb pal/80 gb NTSC PS3 (CECHC/CECHE)?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10875694-11;What publishers produce product number SLUS-20265?;0.0;-1.0;0.0;0.0;1.0;1.0
1-10875694-11;How many titles have the product number SCUS-97330?;1.0;1.0;1.0;0.0;0.0;0.0
1-1090916-2;What is  the status when livery is blue?;1.0;1.0;1.0;0.0;0.0;0.0
1-1090916-2;What is the location when the status is in service as coaching stock?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1096793-1;What was the first season of the club who last won a title in 2012?;0.0;-1.0;0.0;0.0;1.0;0.0
1-1096793-1;What was the first season of the club that in 2012 was 2nd in Superettan?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1096793-1;What was the first season for the club that in 2012 was 2nd in Superettan?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11075747-3;"How many series are named ""Lockdown""?";1.0;1.0;1.0;0.0;0.0;0.0
1-11075747-3;"Who directed the second episode of ""The Homecoming"" which was written by Tommy Thompson?";0.0;-1.0;0.0;0.0;1.0;1.0
1-11075747-3;"What was the latest episode of ""House of Cards""?";0.0;-1.0;0.0;0.0;1.0;1.0
1-1108394-34;What percentage of The Bronx voters occured when Manhattan had 29.9% of voters?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1108394-34;What number of voters did the Bronx have when the total number was 2054?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1108394-34;What number of voters did Queens have when Staten Island had 295 voters?;0.0;-1.0;0.0;0.0;1.0;0.0
1-1108394-6;What was Staten Island when Brooklyn was 940?;1.0;1.0;1.0;0.0;0.0;0.0
1-1108394-6;What was the total number in Manhattan when Staten Island was 12,658?;1.0;1.0;1.0;0.0;0.0;0.0
1-1108394-6;What was the total in Brooklyn when Manhattan was 3,139?;0.0;-1.0;0.0;1.0;1.0;0.0
1-1108394-6;Who was the republican candidate in 2013 when Staten Island was 451?;1.0;1.0;1.0;0.0;0.0;0.0
1-1108394-6;What was the amount in Staten Island when The Bronx was 1,281?;0.0;-1.0;0.0;0.0;1.0;0.0
1-1108394-47;The candidate who received 133 votes in the Bronx won what percentage overall?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1108394-47;Which candidate won 88 votes in Queens in 1921?;0.0;-1.0;0.0;0.0;0.0;1.0
1-1108394-47;How many votes in Brooklyn were won by the candidate who won 321 votes in Manhattan?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1108394-47;The man who received 87,676 votes in Queens won what percentage of the total for the election?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1108394-47;How many parties received 29.9% of the vote in Manhattan?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1115992-1;Name the most late 1943 with late 194 in slovenia;0.0;-1.0;0.0;0.0;1.0;1.0
1-1115992-1;What is the least september 1943 when late 1943 is 78000;0.0;-1.0;0.0;0.0;1.0;1.0
1-1115992-1;What is the late 1941 when 1978 veteran membership is 20000;1.0;1.0;1.0;0.0;0.0;0.0
1-11157122-5;What was Eric Dickerson's longest run?;0.0;-1.0;0.0;1.0;1.0;1.0
1-11157122-5;How many attempts did Charles White make?;1.0;1.0;1.0;0.0;0.0;0.0
1-11157122-5;How many yards did the player with 87 attempts rush?;1.0;1.0;1.0;0.0;0.0;0.0
1-11206916-1;What was the highest amount of people that attended the elgin city team?;0.0;-1.0;0.0;1.0;1.0;1.0
1-11206916-1;The firs park stadium had the lowest average attendence of what?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11206916-1;What was the lowest highest attendance for the dumbarton team?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11206916-1;The gayfield park stadium had a highest attendance of what?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11206916-1;The stenhousemuir team had how many highest attendances?;0.0;-1.0;0.0;1.0;1.0;1.0
1-11174272-1;what's the premiere with hk viewers of 2.09 million;0.0;-1.0;0.0;0.0;1.0;1.0
1-11174272-1;what is the minimum rank;1.0;1.0;1.0;0.0;0.0;0.0
1-11208143-9;What is the minimum capacity of Dundee United's stadium?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11208143-9;Which stadiums have a capacity of 51082?;1.0;1.0;1.0;0.0;0.0;0.0
1-11208143-9;How many stadiums are there with a capacity of 7500?;1.0;1.0;1.0;0.0;0.0;0.0
1-11208143-9;What is Pittodrie Stadium's maximum capacity?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11208143-9;Which stadiums have an average attendance of 13840?;1.0;1.0;1.0;0.0;0.0;0.0
1-11208143-9;What are the highest recorded attendance rates of the stadiums with an average attendance of 4752?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11233358-2;What is the highest number of ties?;1.0;1.0;1.0;0.0;0.0;0.0
1-11233358-2;During the 2013 debut, what is the w-I(total) number?;1.0;1.0;1.0;0.0;0.0;0.0
1-11222744-3;What is the catalog number named callanetics: 10 years younger in 10 hours;0.0;-1.0;0.0;0.0;1.0;1.0
1-11222744-3;"how many studios have the catalog number ""cal03 / 0091037137333""?";0.0;-1.0;0.0;0.0;1.0;1.0
1-11222744-3;"what is the format of ""callanetics: 10 years younger in 10 hours""?";0.0;-1.0;0.0;0.0;1.0;1.0
1-11222744-3;"What is the catalog number of the title called ""super callanetics""?";0.0;-1.0;0.0;0.0;1.0;1.0
1-11222744-3;"how many titles have the name ""quick callanetics""?";0.0;-1.0;0.0;0.0;1.0;1.0
1-11222744-3;"Who creates the catalog with the number ""cal03 / 0091037137333""?";0.0;-1.0;0.0;0.0;1.0;1.0
1-11238597-4;What was the rating for the episode with 1.83 viewers (millions)?;0.0;-1.0;0.0;0.0;1.0;0.0
1-11238597-4;"What was the # for the episode ""the birthday present""?";1.0;1.0;1.0;0.0;0.0;0.0
1-11238597-4;"What was the # for the episode ""the wedding""?";1.0;1.0;1.0;0.0;0.0;0.0
1-11238597-4;What is the rating for the episode in which the 18-49 rating is 0.4?;0.0;-1.0;0.0;0.0;1.0;0.0
1-11238597-4;What was the share for the episode with the air date december 10, 2008?;1.0;1.0;1.0;0.0;0.0;0.0
1-11323532-2;Which premiere had languages in danish?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11323532-2;What was the number of channels in New Zealand?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11323532-2;What is the premiere where the host is lieke van lexmond dennis weening?;1.0;1.0;1.0;0.0;0.0;0.0
1-11323532-2;What is the premiere on the mega channel?;1.0;1.0;1.0;0.0;0.0;0.0
1-11347578-1;What is the symbol for Windpower in China?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1133844-4;who were the winners in west virginia;0.0;-1.0;0.0;0.0;1.0;1.0
1-1133844-4;tell the final for lindsey graham;1.0;1.0;1.0;0.0;0.0;0.0
1-1133844-4;who won the senate seat in arkansas;0.0;-1.0;0.0;0.0;1.0;1.0
1-11340432-1;What is the dysart of the principal?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11340432-1;What is williow canyon of Roberta Lockhart?;1.0;1.0;1.0;0.0;0.0;0.0
1-11340432-1;What is the willow canyon of Stallion?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11340432-1;Name the Valley Vista of Anthony Capuano;0.0;-1.0;0.0;0.0;1.0;1.0
1-11340432-1;How many informations does Michael Hawkins have?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1137694-3;How many total rounds did Damon Hill come in First Place?;1.0;1.0;1.0;0.0;0.0;0.0
1-1137694-3;Who drove the winning car constructed by Jordan - Mugen-Honda?;1.0;1.0;1.0;0.0;0.0;0.0
1-1137694-3;Which Grand Prix was won by a car constructed by Jordan - Mugen-Honda?;1.0;1.0;1.0;0.0;0.0;0.0
1-11365528-2;Which location belongs to the website, http://www.mudgeerabasoccer.com/?;1.0;1.0;1.0;0.0;0.0;0.0
1-11365528-2;The president, peter williamson, had how many home grounds?;1.0;1.0;1.0;0.0;0.0;0.0
1-11365528-2;How many head coaches are there for the website, http://www.burleighbulldogs.org/?;1.0;1.0;1.0;0.0;0.0;0.0
1-11365528-2;The head coach, steve radoslavic, is related to which websites?;1.0;1.0;1.0;0.0;0.0;0.0
1-1137696-3;Who is the driver of the european grand prix?;1.0;1.0;1.0;0.0;0.0;0.0
1-1137696-3;What is the report for round 3?;1.0;1.0;1.0;0.0;0.0;0.0
1-1137696-3;What is the winning driver of round 7?;1.0;1.0;1.0;0.0;0.0;0.0
1-1137696-3;Name the grand prix with a driver of Michael Schumacher and a round of 7?;1.0;1.0;1.0;0.0;0.0;0.0
1-1137702-3;Which round was the winning constructor was Benetton - Ford and in the Pole Position was Damon Hill?;1.0;1.0;1.0;0.0;0.0;0.0
1-1137702-3;How many Grand Prix were the winning constructor Benetton - Ford and the pole position was Michael Schumacher?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1137702-3;Who was the winning driver in round 6?;1.0;1.0;1.0;0.0;0.0;0.0
1-1137702-3;Who was the winning driver in the grand prix at Pacific Grand Prix?;1.0;1.0;1.0;0.0;0.0;0.0
1-1137702-3;Who was the winning driver when the grand Prix was at Belgian Grand Prix?;1.0;1.0;1.0;0.0;0.0;0.0
1-1137702-3;Who was the winning driver when the pole position was held by Ayrton Senna and the Fastest lap was Michael Schumacher?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1137703-2;On which date was the winning driver Alain Prost and and had Damon Hill in the pole position?;1.0;1.0;1.0;0.0;0.0;0.0
1-1137703-2;Which round was the Spanish Grand Prix?;1.0;1.0;1.0;0.0;0.0;0.0
1-11391448-2;What was the record at week 7;1.0;1.0;1.0;0.0;0.0;0.0
1-11391448-2;How many teams did they play week 6;1.0;1.0;1.0;0.0;0.0;0.0
1-1140078-2;What is the number of reports for the italian grand prix?;1.0;1.0;1.0;0.0;0.0;0.0
1-1140078-2;What is the pole position of the belgian grand prix?;1.0;1.0;1.0;0.0;0.0;0.0
1-1140078-2;What is the pole position of paul ricard?;1.0;1.0;1.0;0.0;0.0;0.0
1-1140078-2;What is the report of the united states grand prix west?;1.0;1.0;1.0;0.0;0.0;0.0
1-1140082-2;Where is the German Grand Prix?;1.0;1.0;1.0;0.0;0.0;0.0
1-1140082-2;What is the constructor of the Swedish Grand Prix?;1.0;1.0;1.0;0.0;0.0;0.0
1-1140082-2;Who did the fastest lap at Watkins glen?;1.0;1.0;1.0;0.0;0.0;0.0
1-1140099-6;What circuit has a race called ii cape south easter trophy.;1.0;1.0;1.0;0.0;0.0;0.0
1-1140099-6;Which driver won the i race of champions?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1140099-6;What is the report for the race that Mike Spence won.;1.0;1.0;1.0;0.0;0.0;0.0
1-1140099-6;What is the report for the race i sunday mirror trophy?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1140116-6;How many winners did I Dessau Autobahnspinne have?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1140116-6;What is the date on which a race was run at Halle-Saale-Schleife circuit?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1140116-6;How many races take place in Dessau circuit?;1.0;1.0;1.0;0.0;0.0;0.0
1-1140116-6;Which races did Paul Greifzu win?;1.0;1.0;1.0;0.0;0.0;0.0
1-1140114-5;Which driver won at the Sachsenring circuit?;1.0;1.0;1.0;0.0;0.0;0.0
1-1140114-5;Which constructor was present at the Redex Trophy race?;1.0;1.0;1.0;0.0;0.0;0.0
1-1140114-5;How many different constructors had Paul Thiel as a winning driver?;1.0;1.0;1.0;0.0;0.0;0.0
1-11406866-2; who is the opponent where tv is abc and game site is tampa stadium;1.0;1.0;1.0;0.0;0.0;0.0
1-11406866-2;what is the total number of opponent where date is november 23, 1980;1.0;1.0;1.0;0.0;0.0;0.0
1-11406866-2;what is the total number of kickoff [a ] where week is week;0.0;-1.0;0.0;0.0;1.0;1.0
1-11406866-2; what's the week where attendance is 77,098;1.0;1.0;1.0;0.0;0.0;0.0
1-11406866-2; what's the record where attendance is 61,350;1.0;1.0;1.0;0.0;0.0;0.0
1-11406866-2; what's the record where result is l 24-10;1.0;1.0;1.0;0.0;0.0;0.0
1-1140119-5;What date was the Silverstone circuit driven? ;1.0;1.0;1.0;0.0;0.0;0.0
1-1140119-5;When was the Albi circuit race driven? ;1.0;1.0;1.0;0.0;0.0;0.0
1-1140119-5;Would built the winning car in the IV J.C.C. Jersey Road Race? ;0.0;-1.0;0.0;0.0;1.0;1.0
1-1140119-5;Who won the race at the Jersey circuit? ;0.0;-1.0;0.0;0.0;1.0;1.0
1-1145977-2;When did the season air where the viewership was 14.71 million?;0.0;-1.0;0.0;0.0;1.0;0.0
1-1145977-2;What tv season had a season finale of august 18, 2004?;1.0;1.0;1.0;0.0;0.0;0.0
1-11456251-5;What is the power capacity when the generators were 781?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11456251-5;What is the percentage of total capacity when the energy is 120.2?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11456251-5;What is the % of annual production of solar?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11456251-5;What is the number of generators where the power capicity is 78.7?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11456251-5;What is the % of total capacity when the generators is 4048?;1.0;1.0;1.0;0.0;0.0;0.0
1-11497980-1;Which model number has a GVM (kg) Technical Capacity of 16000 and a Torque Nm@rpm of 600 @ 1700?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11497980-1;If the model is  15.180e, what is the GVM (kg) Technical Capacity?;1.0;1.0;1.0;0.0;0.0;0.0
1-11497980-1;If the engine make/capacity is MWM 6.10 TCA-EURO III (Turbo Intercooler) and  GVM (kg) Technical Capacity is 23000, what is the Torque Nm@rpm?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11497980-1;What is the power kw@RPM of the 13.180 model?;0.0;-1.0;0.0;1.0;1.0;0.0
1-11497980-1;When the transmission make/type/speed is eaton fs 5306-a manual synchromesh 6 speed, what is the value of the gcm (kg) technical capacity?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11497980-1;Which model possesses a transmission make/type/speed of eaton fs-6306 a manual synchromesh 6 speed?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1153898-1;Is drawing tablet support part of the semi-DDM class?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1153898-1;Is  usb re-enumeration required part of the emulated class?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1153898-1;Is wireless combo keyboard and mouse support part of the hub base class?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1153898-1;Is the drawing tablet support part of the DDM class?;0.0;-1.0;0.0;0.0;1.0;1.0
1-1153898-1;Is  wireless combo keyboard and mouse support part of the DDM class?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11545282-10;What school or team does Al Jefferson play for?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11545282-10;Which forward player has the number 22?;1.0;1.0;1.0;0.0;0.0;0.0
1-11545282-10;What number does the player from Ohio play with?;1.0;1.0;1.0;0.0;0.0;0.0
1-11545282-10;During which years did player number 35 play for Jazz?;1.0;1.0;1.0;0.0;0.0;0.0
1-11581984-2;For driver Mark Skaife what is the result for race 1?;0.0;-1.0;0.0;0.0;1.0;1.0
1-11602885-1;When was the game in Mexico played? ;1.0;1.0;1.0;0.0;0.0;0.0
1-1160660-1;What University has the acrronym of USF;1.0;1.0;1.0;0.0;0.0;0.0
1-1160660-1;What is the acronym used for Beirut Arab University?;1.0;1.0;1.0;0.0;0.0;0.0
